timestamp,client_id,epoch,step,loss,acc,latency_s,MB_tx,MB_rx
1760902099.1870434,1,0,0,2.3010354042053223,0.125,0.4631340503692627,0.03125,0.03125
1760902099.3542511,1,0,1,2.264878273010254,0.1171875,0.1622142791748047,0.03125,0.03125
1760902099.5045214,2,0,0,2.3157763481140137,0.0625,0.3695824146270752,0.03125,0.03125
1760902099.5434282,1,0,2,2.3105392456054688,0.0989583358168602,0.18696260452270508,0.03125,0.03125
1760902099.6765501,2,0,1,2.312899112701416,0.09375,0.16902852058410645,0.03125,0.03125
1760902099.7531583,1,0,3,2.35374116897583,0.125,0.20199275016784668,0.03125,0.03125
1760902099.862076,2,0,2,2.2728779315948486,0.0989583358168602,0.18112468719482422,0.03125,0.03125
1760902099.9746547,1,0,4,2.312150478363037,0.11249999701976776,0.18192386627197266,0.03125,0.03125
1760902100.0715847,2,0,3,2.3117833137512207,0.09765625,0.1703329086303711,0.03125,0.03125
1760902100.1865196,1,0,5,2.346649408340454,0.1119791641831398,0.18368268013000488,0.03125,0.03125
1760902100.272383,2,0,4,2.304661273956299,0.10000000149011612,0.19700336456298828,0.03125,0.03125
1760902100.3732643,1,0,6,2.27107834815979,0.1138392835855484,0.18334484100341797,0.03125,0.03125
1760902100.4895158,2,0,5,2.273472309112549,0.1015625,0.1763627529144287,0.03125,0.03125
1760902100.6098998,1,0,7,2.3086788654327393,0.115234375,0.20075345039367676,0.03125,0.03125
1760902100.7071354,2,0,6,2.2854413986206055,0.109375,0.21411490440368652,0.03125,0.03125
1760902100.7071354,3,0,0,2.3030943870544434,0.0625,0.3929886817932129,0.03125,0.03125
1760902100.8097403,1,0,8,2.2603025436401367,0.125,0.1759507656097412,0.03125,0.03125
1760902100.9229403,2,0,7,2.246316909790039,0.111328125,0.1947178840637207,0.03125,0.03125
1760902100.9565344,3,0,1,2.2764878273010254,0.125,0.22831201553344727,0.03125,0.03125
1760902101.0309536,1,0,9,2.3061861991882324,0.12968750298023224,0.18825674057006836,0.03125,0.03125
1760902101.144609,2,0,8,2.272292375564575,0.1128472238779068,0.19019365310668945,0.03125,0.03125
1760902101.193456,3,0,2,2.310427188873291,0.1302083283662796,0.23071503639221191,0.03125,0.03125
1760902101.291256,1,0,10,2.326507806777954,0.12642045319080353,0.19156503677368164,0.03125,0.03125
1760902101.357443,2,0,9,2.258342981338501,0.11406250298023224,0.2088327407836914,0.03125,0.03125
1760902101.4262905,3,0,3,2.3434345722198486,0.14453125,0.2111353874206543,0.03125,0.03125
1760902101.4952593,1,0,11,2.3209121227264404,0.1263020783662796,0.20067691802978516,0.03125,0.03125
1760902101.5569053,2,0,10,2.249905824661255,0.11221590638160706,0.19256091117858887,0.03125,0.03125
1760902101.6445174,3,0,4,2.364384174346924,0.12812499701976776,0.20996570587158203,0.03125,0.03125
1760902101.7107491,1,0,12,2.2948951721191406,0.12259615212678909,0.21094822883605957,0.03125,0.03125
1760902101.772931,2,0,11,2.2511425018310547,0.1119791641831398,0.19666433334350586,0.03125,0.03125
1760902101.8410263,3,0,5,2.247188091278076,0.1276041716337204,0.19449591636657715,0.03125,0.03125
1760902101.9059532,1,0,13,2.293503522872925,0.125,0.18973660469055176,0.03125,0.03125
1760902101.9699018,2,0,12,2.1601829528808594,0.12019230425357819,0.18942761421203613,0.03125,0.03125
1760902102.0417304,3,0,6,2.304882049560547,0.1339285671710968,0.19393253326416016,0.03125,0.03125
1760902102.1050856,1,0,14,2.300311326980591,0.12604166567325592,0.1898484230041504,0.03125,0.03125
1760902102.1762767,2,0,13,2.1810007095336914,0.1238839253783226,0.19737958908081055,0.03125,0.03125
1760902102.2379653,3,0,7,2.274632215499878,0.140625,0.18944287300109863,0.03125,0.03125
1760902102.3071022,1,0,15,2.2923221588134766,0.1220703125,0.19231247901916504,0.03125,0.03125
1760902102.3868682,2,0,14,2.2240028381347656,0.125,0.20673489570617676,0.03125,0.03125
1760902102.4619253,3,0,8,2.2793946266174316,0.1458333283662796,0.2165517807006836,0.03125,0.03125
1760902102.5214138,1,0,16,2.27498722076416,0.12408088147640228,0.20779991149902344,0.03125,0.03125
1760902102.590778,2,0,15,2.219041109085083,0.12890625,0.19962501525878906,0.03125,0.03125
1760902102.6867537,3,0,9,2.259127140045166,0.15000000596046448,0.22145867347717285,0.03125,0.03125
1760902102.7520332,1,0,17,2.284471035003662,0.1276041716337204,0.21688127517700195,0.03125,0.03125
1760902102.8185787,2,0,16,2.1550838947296143,0.13419117033481598,0.2121117115020752,0.03125,0.03125
1760902102.9246504,3,0,10,2.2753047943115234,0.14772726595401764,0.23159384727478027,0.03125,0.03125
1760902103.0166404,1,0,18,2.2707910537719727,0.13075657188892365,0.25441551208496094,0.03125,0.03125
1760902103.1174748,2,0,17,2.1746249198913574,0.1397569477558136,0.28096604347229004,0.03125,0.03125
1760902103.2119632,3,0,11,2.241879940032959,0.1471354216337204,0.2691824436187744,0.03125,0.03125
1760902103.2926812,1,0,19,2.2416088581085205,0.13437500596046448,0.2547323703765869,0.03125,0.03125
1760902103.3704755,2,0,18,2.1314010620117188,0.14555920660495758,0.23600006103515625,0.03125,0.03125
1760902103.453662,3,0,12,2.2285890579223633,0.15024039149284363,0.222855806350708,0.03125,0.03125
1760902103.52575,1,0,20,2.284195899963379,0.134672611951828,0.2173447608947754,0.03125,0.03125
1760902103.6080806,2,0,19,2.210862636566162,0.14374999701976776,0.2145686149597168,0.03125,0.03125
1760902103.6813953,3,0,13,2.2117016315460205,0.1551339328289032,0.21905279159545898,0.03125,0.03125
1760902103.7666383,1,0,21,2.252141237258911,0.1384943127632141,0.22049713134765625,0.03125,0.03125
1760902103.8398528,2,0,20,2.1579513549804688,0.1443452388048172,0.20949101448059082,0.03125,0.03125
1760902103.9611742,3,0,14,2.2375197410583496,0.15625,0.26107311248779297,0.03125,0.03125
1760902104.0402174,1,0,22,2.295835018157959,0.135869562625885,0.2562270164489746,0.03125,0.03125
1760902104.1113052,2,0,21,2.063596248626709,0.14559659361839294,0.23821306228637695,0.03125,0.03125
1760902104.1959238,3,0,15,2.191209077835083,0.16015625,0.21911954879760742,0.03125,0.03125
1760902104.2609088,1,0,23,2.2780838012695312,0.1354166716337204,0.20494604110717773,0.03125,0.03125
1760902104.3753676,2,0,22,1.9863932132720947,0.151494562625885,0.2409956455230713,0.03125,0.03125
1760902104.4823658,3,0,16,2.1627304553985596,0.1663602888584137,0.27070140838623047,0.03125,0.03125
1760902104.5314214,1,0,24,2.261967182159424,0.1368750035762787,0.23918938636779785,0.03125,0.03125
1760902104.619253,2,0,23,2.077542781829834,0.1555989533662796,0.2148275375366211,0.03125,0.03125
1760902104.680434,3,0,17,2.2096242904663086,0.1657986044883728,0.19542479515075684,0.03125,0.03125
1760902104.770671,1,0,25,2.237807273864746,0.14182692766189575,0.2191934585571289,0.03125,0.03125
1760902104.843794,2,0,24,1.9746843576431274,0.1599999964237213,0.20809507369995117,0.03125,0.03125
1760902104.9501467,3,0,18,2.224160671234131,0.16694079339504242,0.2494640350341797,0.03125,0.03125
1760902105.037493,1,0,26,2.2129175662994385,0.14467592537403107,0.24982476234436035,0.03125,0.03125
1760902105.107898,2,0,25,1.9968067407608032,0.16466346383094788,0.23825359344482422,0.03125,0.03125
1760902105.1823885,3,0,19,2.1594016551971436,0.16718749701976776,0.21271729469299316,0.03125,0.03125
1760902105.2624097,1,0,27,2.1768147945404053,0.1478794664144516,0.2106931209564209,0.03125,0.03125
1760902105.3411653,2,0,26,2.020923614501953,0.16724537312984467,0.21106553077697754,0.03125,0.03125
1760902105.4407887,3,0,20,2.070446014404297,0.1703869104385376,0.2358555793762207,0.03125,0.03125
1760902105.4937384,1,0,28,2.212534189224243,0.14816810190677643,0.21424484252929688,0.03125,0.03125
1760902105.573601,2,0,27,2.0258898735046387,0.16796875,0.20693755149841309,0.03125,0.03125
1760902105.649232,3,0,21,2.093125104904175,0.17471590638160706,0.19865036010742188,0.03125,0.03125
1760902105.736975,1,0,29,2.151268243789673,0.15156249701976776,0.21308135986328125,0.03125,0.03125
1760902105.809094,2,0,28,2.149339199066162,0.16864223778247833,0.2117161750793457,0.03125,0.03125
1760902105.8864384,3,0,22,2.0530271530151367,0.18002717196941376,0.22128653526306152,0.03125,0.03125
1760902105.9779646,1,0,30,2.1537506580352783,0.14919355511665344,0.2230367660522461,0.03125,0.03125
1760902106.0408826,2,0,29,2.118441104888916,0.17239584028720856,0.23178863525390625,0.03125,0.03125
1760902106.134972,3,0,23,2.1247763633728027,0.1803385466337204,0.2294330596923828,0.03125,0.03125
1760902106.2184253,1,0,31,2.105201482772827,0.1533203125,0.22195172309875488,0.03125,0.03125
1760902106.3087103,2,0,30,1.9223620891571045,0.1728830635547638,0.2443523406982422,0.03125,0.03125
1760902106.3962266,3,0,24,1.9419353008270264,0.1837500035762787,0.23842859268188477,0.03125,0.03125
1760902106.4694517,1,0,32,2.076073169708252,0.15482954680919647,0.22503280639648438,0.03125,0.03125
1760902106.531123,2,0,31,2.1651687622070312,0.17578125,0.20915699005126953,0.03125,0.03125
1760902106.6065042,3,0,25,2.0665435791015625,0.1850961595773697,0.20035028457641602,0.03125,0.03125
1760902106.6857765,1,0,33,2.1460213661193848,0.15579044818878174,0.20568275451660156,0.03125,0.03125
1760902106.758646,2,0,32,1.9215714931488037,0.17850378155708313,0.20643138885498047,0.03125,0.03125
1760902106.855744,3,0,26,1.9450645446777344,0.18981482088565826,0.23180532455444336,0.03125,0.03125
1760902106.9474208,1,0,34,2.195246696472168,0.15580357611179352,0.24931645393371582,0.03125,0.03125
1760902107.0151494,2,0,33,2.2338943481445312,0.17922794818878174,0.22294402122497559,0.03125,0.03125
1760902107.116515,3,0,27,1.9549428224563599,0.1919642835855484,0.23491597175598145,0.03125,0.03125
1760902107.1961217,1,0,35,2.030473470687866,0.1597222238779068,0.2293078899383545,0.03125,0.03125
1760902107.2687283,2,0,34,2.085991382598877,0.17946428060531616,0.22261261940002441,0.03125,0.03125
1760902107.3383732,3,0,28,2.0970873832702637,0.19396552443504333,0.20434117317199707,0.03125,0.03125
1760902107.4220562,1,0,36,2.202409267425537,0.16131757199764252,0.20247864723205566,0.03125,0.03125
1760902107.4977944,2,0,35,2.089855670928955,0.1827256977558136,0.20738792419433594,0.03125,0.03125
1760902107.5587177,3,0,29,1.972069263458252,0.19322916865348816,0.20424556732177734,0.03125,0.03125
1760902107.6337178,1,0,37,1.9969062805175781,0.16447368264198303,0.19519662857055664,0.03125,0.03125
1760902107.697478,2,0,36,2.0132369995117188,0.18581080436706543,0.18853068351745605,0.03125,0.03125
1760902107.815997,3,0,30,2.174226999282837,0.19203628599643707,0.23652863502502441,0.03125,0.03125
1760902107.8754115,1,0,38,2.1382532119750977,0.1638621836900711,0.22561049461364746,0.03125,0.03125
1760902107.9463847,2,0,37,2.032970905303955,0.18708881735801697,0.21609258651733398,0.03125,0.03125
1760902108.0350118,3,0,31,1.9718093872070312,0.19482421875,0.2025766372680664,0.03125,0.03125
1760902108.1389806,1,0,39,2.143810272216797,0.16484375298023224,0.23379302024841309,0.03125,0.03125
1760902108.215111,2,0,38,1.9188933372497559,0.19070513546466827,0.2414393424987793,0.03125,0.03125
1760902108.3211157,3,0,32,1.836301326751709,0.19886364042758942,0.2545950412750244,0.03125,0.03125
1760902108.3601663,1,0,40,2.066840171813965,0.1676829308271408,0.2097609043121338,0.03125,0.03125
1760902108.4927394,2,0,39,1.8738551139831543,0.1953125,0.21843743324279785,0.03125,0.03125
1760902108.5654418,3,0,33,1.9161314964294434,0.1985294073820114,0.21131300926208496,0.03125,0.03125
1760902108.6180913,1,0,41,1.934255838394165,0.171875,0.25792503356933594,0.03125,0.03125
1760902108.795802,2,0,40,2.046250343322754,0.19664634764194489,0.25453948974609375,0.03125,0.03125
1760902108.8489006,3,0,34,1.9574496746063232,0.19955356419086456,0.27648448944091797,0.03125,0.03125
1760902108.9315553,1,0,42,2.2542881965637207,0.17151163518428802,0.280515193939209,0.03125,0.03125
1760902109.023024,2,0,41,1.9051687717437744,0.1979166716337204,0.22432947158813477,0.03125,0.03125
1760902109.085572,3,0,35,2.0350074768066406,0.2005208283662796,0.21956729888916016,0.03125,0.03125
1760902109.1497061,1,0,43,2.1422183513641357,0.17151989042758942,0.2002108097076416,0.03125,0.03125
1760902109.2589102,2,0,42,2.0027365684509277,0.20130814611911774,0.22388267517089844,0.03125,0.03125
1760902109.388233,3,0,36,1.9743977785110474,0.19974662363529205,0.2871732711791992,0.03125,0.03125
1760902109.47028,1,0,44,1.988034725189209,0.17673611640930176,0.28687286376953125,0.03125,0.03125
